Atlanta Hawks*,28.2,48,3.61,3.49,105.1,101.4,+3.7,97.1,.552
Boston Celtics*,25.2,48,3.21,2.84,106.8,103.6,+3.2,98.5,.531
Brooklyn Nets,26.9,21,-7.35,-7.12,103.2,110.9,-7.7,95.2,.527
Charlotte Hornets*,26.0,48,2.72,2.36,107.1,104.3,+2.8,95.7,.545
Chicago Bulls,27.6,42,-1.48,-1.46,105.0,106.5,-1.5,95.7,.526
Cleveland Cavaliers*,28.1,57,6.00,5.45,110.9,104.5,+6.4,93.3,.558
Dallas Mavericks*,30.3,42,-0.30,-0.02,106.7,107.0,-0.3,94.3,.544
Denver Nuggets,24.7,33,-3.10,-2.81,105.6,108.9,-3.3,95.7,.531
Detroit Pistons*,25.0,44,0.61,0.43,106.1,105.5,+0.6,95.1,.522
Golden State Warriors*,27.4,73,10.76,10.38,114.5,103.8,+10.7,99.3,.593
Houston Rockets*,27.8,41,0.20,0.34,108.3,108.1,+0.2,97.6,.553
Indiana Pacers*,26.9,45,1.71,1.62,104.6,102.9,+1.7,96.6,.536
Los Angeles Clippers*,29.7,53,4.28,4.13,108.3,103.8,+4.5,95.8,.556
Los Angeles Lakers,26.5,17,-9.56,-8.92,101.6,111.6,-10.0,95.6,.509
Memphis Grizzlies*,30.5,42,-2.24,-2.14,105.4,107.8,-2.4,93.3,.524
Miami Heat*,28.4,48,1.65,1.50,106.1,104.4,+1.7,93.6,.545
Milwaukee Bucks,23.5,33,-4.18,-3.98,104.3,108.7,-4.4,94.2,.537
Minnesota Timberwolves,24.6,29,-3.54,-3.38,106.5,110.1,-3.6,95.2,.549
New Orleans Pelicans,26.6,30,-3.79,-3.56,105.6,109.5,-3.9,96.8,.537
New York Knicks,27.2,32,-2.73,-2.74,104.6,107.6,-3.0,93.4,.527
Oklahoma City Thunder*,25.8,55,7.28,7.09,113.1,105.6,+7.5,96.7,.565
Orlando Magic,23.9,35,-1.62,-1.68,105.1,106.8,-1.7,96.0,.533
Philadelphia 76ers,23.3,10,-10.23,-9.92,98.8,109.2,-10.4,97.9,.519
Phoenix Suns,26.0,23,-6.66,-6.32,102.2,109.0,-6.8,98.5,.526
Portland Trail Blazers*,24.3,44,0.83,0.98,108.8,108.0,+0.8,96.0,.548
Sacramento Kings,26.6,33,-2.48,-2.32,106.0,108.4,-2.4,100.0,.546
San Antonio Spurs*,30.3,67,10.63,10.28,110.3,99.0,+11.3,93.8,.564
Toronto Raptors*,26.3,56,4.50,4.08,110.0,105.2,+4.8,92.9,.552
Utah Jazz,24.2,40,1.79,1.84,105.9,103.9,+2.0,91.0,.540
Washington Wizards,27.3,41,-0.50,-0.50,105.3,105.8,-0.5,98.5,.544
League Average,26.8,,0.00,0.00,106.4,106.4,,95.8,.541
