Atlanta Hawks*,24.9,41,0.29,0.32,116.6,116.3,+0.3,100.7,.579
Boston Celtics*,27.4,57,6.52,6.38,118.0,111.5,+6.5,98.5,.600
Brooklyn Nets*,28.0,45,0.85,1.03,115.0,114.1,+0.9,98.3,.598
Charlotte Hornets,25.3,27,-6.24,-5.89,109.2,115.3,-6.1,100.8,.550
Chicago Bulls,27.5,40,1.29,1.37,113.5,112.2,+1.3,98.5,.587
Cleveland Cavaliers*,25.4,51,5.38,5.23,116.1,110.6,+5.5,95.7,.590
Dallas Mavericks,27.8,38,0.07,-0.14,116.8,116.7,+0.1,96.6,.599
Denver Nuggets*,26.6,53,3.33,3.04,117.6,114.2,+3.4,98.1,.601
Detroit Pistons,24.1,17,-8.22,-7.73,110.7,118.9,-8.2,99.0,.561
Golden State Warriors*,27.3,44,1.80,1.66,116.1,114.4,+1.7,101.6,.600
Houston Rockets,22.1,22,-7.85,-7.62,111.4,119.3,-7.9,99.0,.554
Indiana Pacers,24.5,35,-3.18,-2.91,114.6,117.7,-3.1,101.1,.581
Los Angeles Clippers*,29.7,44,0.50,0.31,115.0,114.5,+0.5,98.0,.588
Los Angeles Lakers*,27.9,43,0.57,0.43,114.5,113.9,+0.6,101.3,.582
Memphis Grizzlies*,24.4,51,3.94,3.60,115.1,111.2,+3.9,101.1,.570
Miami Heat*,27.7,44,-0.32,-0.13,113.0,113.3,-0.3,96.3,.574
Milwaukee Bucks*,29.8,58,3.63,3.61,115.4,111.9,+3.5,100.5,.583
Minnesota Timberwolves*,25.8,42,-0.04,-0.22,113.7,113.8,-0.1,101.0,.592
New Orleans Pelicans,25.9,42,1.89,1.63,114.4,112.5,+1.9,99.1,.582
New York Knicks*,24.5,47,2.93,2.99,117.8,114.8,+3.0,97.1,.577
Oklahoma City Thunder,22.8,40,1.09,0.96,115.2,114.2,+1.0,101.1,.570
Orlando Magic,23.1,34,-2.56,-2.39,111.6,114.2,-2.6,99.3,.573
Philadelphia 76ers*,28.2,54,4.32,4.37,117.7,113.3,+4.4,96.9,.608
Phoenix Suns*,28.1,45,2.07,2.08,115.1,113.0,+2.1,98.2,.570
Portland Trail Blazers,25.1,33,-4.01,-3.96,114.8,118.8,-4.0,98.6,.589
Sacramento Kings*,25.4,48,2.65,2.30,119.4,116.8,+2.6,100.3,.608
San Antonio Spurs,23.9,22,-10.04,-9.82,110.2,120.0,-9.8,101.6,.554
Toronto Raptors,25.8,41,1.48,1.59,115.5,114.0,+1.5,97.1,.555
Utah Jazz,26.5,37,-0.94,-1.03,115.8,116.7,-0.9,100.5,.584
Washington Wizards,26.2,35,-1.21,-1.06,114.4,115.6,-1.2,98.6,.585
