Atlanta Hawks,24.1,20,-7.97,-7.71,107.2,114.8,-7.6,103.0,.554
Boston Celtics*,25.3,48,6.31,5.83,113.3,107.0,+6.3,99.5,.570
Brooklyn Nets*,26.3,35,-0.57,-1.01,108.9,109.5,-0.6,101.4,.554
Charlotte Hornets,24.3,23,-6.75,-7.03,106.3,113.3,-7.0,95.8,.539
Chicago Bulls,24.4,22,-3.08,-4.00,106.7,109.8,-3.1,99.7,.547
Cleveland Cavaliers,25.0,19,-7.89,-7.77,107.5,115.4,-7.9,98.7,.553
Dallas Mavericks*,26.1,43,4.95,4.87,116.7,111.7,+5.0,99.3,.581
Denver Nuggets*,25.6,46,2.11,2.35,113.1,111.0,+2.1,97.1,.567
Detroit Pistons,25.9,20,-3.56,-4.38,109.0,112.7,-3.7,97.6,.561
Golden State Warriors,24.4,15,-8.71,-8.12,105.2,113.8,-8.6,100.3,.540
Houston Rockets*,29.2,44,2.96,3.13,112.9,110.1,+2.8,103.7,.578
Indiana Pacers*,25.6,45,1.96,1.63,110.0,108.0,+2.0,98.9,.565
Los Angeles Clippers*,27.4,49,6.44,6.66,113.9,107.6,+6.3,101.5,.577
Los Angeles Lakers*,29.5,52,5.79,6.28,112.0,106.3,+5.7,100.9,.573
Memphis Grizzlies,24.1,34,-1.07,-0.91,109.2,110.3,-1.1,102.8,.561
Miami Heat*,25.9,44,2.95,2.59,112.5,109.5,+3.0,98.3,.587
Milwaukee Bucks*,29.2,56,10.08,9.41,112.4,102.9,+9.5,105.1,.583
Minnesota Timberwolves,24.8,19,-4.30,-4.02,108.1,112.2,-4.1,103.4,.551
New Orleans Pelicans,25.4,30,-1.29,-0.55,110.7,111.9,-1.2,103.7,.568
New York Knicks,24.5,21,-6.45,-6.72,106.5,113.0,-6.5,98.6,.531
Oklahoma City Thunder*,25.5,44,1.99,2.33,110.8,108.8,+2.0,98.8,.573
Orlando Magic*,26.1,33,-1.01,-0.93,108.5,109.5,-1.0,98.6,.544
Philadelphia 76ers*,26.3,43,2.38,2.25,111.3,109.0,+2.3,99.0,.566
Phoenix Suns,24.6,34,0.22,0.56,111.7,111.4,+0.3,101.3,.576
Portland Trail Blazers*,27.5,35,-1.15,-0.61,113.7,114.8,-1.1,100.7,.570
Sacramento Kings,27.0,31,-2.04,-1.59,110.2,112.2,-2.0,98.9,.566
San Antonio Spurs,27.6,32,-1.11,-0.65,112.4,113.5,-1.1,100.5,.572
Toronto Raptors*,26.6,53,6.24,5.97,111.1,105.0,+6.1,100.9,.574
Utah Jazz*,27.3,44,2.47,2.52,112.3,109.9,+2.4,98.6,.585
Washington Wizards,25.1,25,-4.67,-5.24,110.9,115.5,-4.6,102.7,.562
