Atlanta Hawks,25.1,29,-6.02,-6.06,108.1,113.9,-5.8,103.9,.555
Boston Celtics*,25.7,49,4.44,3.90,112.7,108.3,+4.4,99.2,.567
Brooklyn Nets*,25.4,42,-0.07,-0.40,109.6,109.7,-0.1,100.8,.556
Charlotte Hornets,26.6,39,-1.10,-1.32,111.4,112.5,-1.1,98.7,.554
Chicago Bulls,24.0,22,-8.41,-8.32,104.8,113.2,-8.4,99.0,.541
Cleveland Cavaliers,25.2,19,-9.61,-9.39,107.7,117.6,-9.9,96.6,.540
Dallas Mavericks,26.9,33,-1.28,-0.87,109.4,110.7,-1.3,99.0,.555
Denver Nuggets*,24.9,54,3.95,4.19,113.0,108.9,+4.1,97.7,.558
Detroit Pistons*,26.9,41,-0.24,-0.56,109.0,109.2,-0.2,97.4,.544
Golden State Warriors*,28.4,57,6.46,6.42,115.9,109.5,+6.4,100.9,.596
Houston Rockets*,29.2,53,4.77,4.96,115.5,110.7,+4.8,97.9,.581
Indiana Pacers*,27.0,48,3.33,2.76,109.9,106.5,+3.4,98.1,.561
Los Angeles Clippers*,27.2,48,0.85,1.09,112.4,111.5,+0.9,101.7,.575
Los Angeles Lakers,26.2,37,-1.72,-1.33,107.8,109.5,-1.7,103.2,.554
Memphis Grizzlies,27.7,33,-2.60,-2.08,106.1,108.8,-2.7,96.6,.548
Miami Heat,27.0,39,-0.23,-0.45,107.3,107.6,-0.3,98.2,.542
Milwaukee Bucks*,26.9,60,8.87,8.04,113.8,105.2,+8.6,103.3,.583
Minnesota Timberwolves,26.2,36,-1.50,-1.02,111.4,112.9,-1.5,100.2,.552
New Orleans Pelicans,25.7,33,-1.33,-1.10,111.4,112.6,-1.2,103.3,.563
New York Knicks,23.4,17,-9.21,-8.93,104.5,113.7,-9.2,99.6,.529
Oklahoma City Thunder*,25.7,49,3.40,3.56,110.3,107.0,+3.3,102.8,.545
Orlando Magic*,25.7,42,0.71,0.28,108.9,108.1,+0.8,98.1,.550
Philadelphia 76ers*,26.4,51,2.70,2.25,112.6,110.0,+2.6,101.6,.574
Phoenix Suns,24.0,19,-9.34,-8.61,105.9,115.1,-9.2,100.5,.552
Portland Trail Blazers*,26.2,53,4.20,4.43,114.7,110.5,+4.2,99.1,.568
Sacramento Kings,24.8,39,-1.12,-0.81,110.4,111.5,-1.1,103.1,.554
San Antonio Spurs*,28.8,48,1.68,1.80,112.9,111.2,+1.7,98.3,.572
Toronto Raptors*,27.3,58,6.09,5.49,113.1,107.1,+6.0,100.2,.579
Utah Jazz*,27.3,50,5.26,5.28,110.9,105.7,+5.2,100.3,.572
Washington Wizards,26.5,32,-2.90,-3.30,111.1,113.9,-2.8,101.4,.567
