Atlanta Hawks,26.1,25,-5.21,-5.55,98.7,104.3,-5.6,91.9,.500
Boston Celtics,25.9,36,-2.13,-2.40,101.4,103.7,-2.3,92.6,.521
Charlotte Hornets*,28.2,46,2.10,1.45,101.8,99.5,+2.3,89.4,.506
Chicago Bulls,23.2,15,-9.10,-9.09,97.2,107.3,-10.1,89.3,.495
Cleveland Cavaliers,26.9,30,-4.24,-4.48,100.3,104.9,-4.6,91.2,.509
Dallas Mavericks*,26.6,53,4.28,4.61,107.1,102.6,+4.5,93.2,.544
Denver Nuggets,27.9,40,-2.46,-1.83,103.7,106.3,-2.6,92.6,.511
Detroit Pistons,27.1,32,-1.70,-2.08,100.0,101.8,-1.8,94.7,.498
Golden State Warriors,26.6,17,-9.05,-8.11,97.8,107.4,-9.6,94.1,.470
Houston Rockets,26.7,45,2.29,2.71,106.7,104.2,+2.5,90.4,.538
Indiana Pacers*,27.7,41,-0.20,-0.77,102.0,102.2,-0.2,89.4,.519
Los Angeles Clippers,24.3,31,-2.89,-2.23,101.3,104.5,-3.2,89.6,.514
Los Angeles Lakers*,29.2,56,3.38,3.74,108.4,104.8,+3.6,91.7,.535
Miami Heat*,30.9,50,2.29,1.73,101.1,98.5,+2.6,87.1,.515
Milwaukee Bucks*,28.2,52,3.88,3.14,108.8,104.6,+4.2,92.1,.542
Minnesota Timberwolves*,27.4,47,1.35,1.81,105.2,103.7,+1.5,91.8,.523
New Jersey Nets,27.5,26,-5.05,-5.30,100.0,105.5,-5.5,91.8,.504
New York Knicks*,29.8,48,2.63,1.98,101.2,98.2,+3.0,86.7,.523
Orlando Magic*,26.0,43,0.99,0.39,103.2,102.1,+1.1,93.2,.513
Philadelphia 76ers*,28.2,56,4.28,3.64,103.6,98.9,+4.7,90.6,.518
Phoenix Suns*,28.6,51,2.21,2.63,100.3,98.0,+2.3,93.1,.506
Portland Trail Blazers*,30.1,50,4.20,4.52,106.5,101.8,+4.7,89.1,.539
Sacramento Kings*,27.1,55,5.82,6.07,105.6,99.6,+6.0,94.4,.529
San Antonio Spurs*,29.5,58,7.76,7.92,106.6,98.0,+8.6,89.6,.541
Seattle SuperSonics,27.9,44,0.02,0.55,105.6,105.6,0.0,91.6,.530
Toronto Raptors*,29.9,47,2.26,1.69,105.9,103.4,+2.5,90.9,.510
Utah Jazz*,32.0,53,4.70,5.00,107.6,102.4,+5.2,89.8,.546
Vancouver Grizzlies,26.2,23,-5.73,-4.94,99.6,105.8,-6.2,91.7,.510
Washington Wizards,27.0,19,-6.67,-6.75,100.6,107.8,-7.2,92.7,.514
