Atlanta Hawks,22.7,26,-4.76,-4.69,106.4,111.6,-5.2,90.4,.534
Boston Celtics,25.3,33,-1.54,-1.59,105.2,106.9,-1.7,92.2,.551
Charlotte Bobcats,25.2,26,-4.00,-3.90,102.5,106.7,-4.2,93.4,.509
Chicago Bulls*,24.1,41,0.63,0.51,104.0,103.4,+0.6,92.9,.527
Cleveland Cavaliers*,27.1,50,2.23,2.17,107.8,105.4,+2.4,89.8,.538
Dallas Mavericks*,27.5,60,6.07,5.96,111.8,105.0,+6.8,87.8,.550
Denver Nuggets*,27.4,44,0.23,0.36,105.5,105.2,+0.3,93.9,.535
Detroit Pistons*,28.5,64,6.67,6.24,110.8,103.1,+7.7,86.8,.535
Golden State Warriors,25.6,34,-1.35,-1.11,104.8,106.2,-1.4,93.3,.521
Houston Rockets,28.8,34,-1.59,-1.30,101.6,103.3,-1.7,88.0,.519
Indiana Pacers*,27.3,41,1.89,1.62,104.5,102.4,+2.1,89.7,.533
Los Angeles Clippers*,26.8,47,1.57,1.75,105.3,103.6,+1.7,91.7,.540
Los Angeles Lakers*,25.1,45,2.50,2.53,108.4,105.7,+2.7,90.9,.539
Memphis Grizzlies*,28.1,49,3.70,3.74,105.9,101.6,+4.3,86.3,.537
Miami Heat*,29.2,52,3.87,3.59,108.7,104.5,+4.2,91.6,.556
Milwaukee Bucks*,25.5,40,-1.04,-1.07,106.3,107.4,-1.1,91.2,.535
Minnesota Timberwolves,26.7,33,-1.88,-1.75,102.4,104.5,-2.1,88.8,.524
New Jersey Nets*,28.6,49,1.37,1.11,103.9,102.4,+1.5,89.8,.528
New Orleans/Oklahoma City Hornets,26.3,38,-2.82,-2.51,103.7,106.8,-3.1,89.0,.515
New York Knicks,25.6,23,-6.40,-6.30,104.0,111.0,-7.0,90.8,.534
Orlando Magic,25.5,36,-1.07,-1.26,106.3,107.5,-1.2,88.3,.543
Philadelphia 76ers,26.5,38,-1.95,-2.10,106.0,108.1,-2.1,92.7,.538
Phoenix Suns*,27.5,54,5.55,5.48,111.5,105.8,+5.7,95.8,.568
Portland Trail Blazers,24.6,21,-9.45,-8.91,101.1,111.9,-10.8,87.6,.511
Sacramento Kings*,27.2,44,1.54,1.61,106.7,105.0,+1.7,91.9,.544
San Antonio Spurs*,29.8,63,6.82,6.69,107.3,99.6,+7.7,88.5,.546
Seattle SuperSonics,25.6,35,-3.02,-2.88,111.1,114.4,-3.3,91.6,.551
Toronto Raptors,25.9,27,-2.99,-3.03,109.5,112.7,-3.2,91.1,.548
Utah Jazz,25.6,41,-2.63,-2.49,104.1,107.0,-2.9,87.8,.519
Washington Wizards*,26.5,42,1.85,1.57,109.3,107.3,+2.0,92.3,.538
