Atlanta Hawks,26.2,28,-4.65,-5.00,101.0,106.1,-5.1,90.8,.514
Boston Celtics*,26.4,36,-1.45,-1.99,102.1,103.7,-1.6,93.2,.532
Chicago Bulls,26.8,23,-6.35,-6.69,96.6,103.4,-6.8,92.2,.486
Cleveland Cavaliers,24.9,35,-2.62,-3.07,101.4,104.2,-2.8,90.8,.498
Dallas Mavericks*,27.4,52,4.44,4.86,112.1,107.4,+4.7,93.2,.536
Denver Nuggets*,25.6,43,1.07,1.65,103.9,102.7,+1.2,93.3,.517
Detroit Pistons*,27.4,54,5.84,5.04,102.0,95.4,+6.6,87.9,.511
Golden State Warriors,28.1,37,-0.73,-0.07,103.0,103.8,-0.8,89.8,.517
Houston Rockets*,28.3,45,1.73,2.28,100.9,99.0,+1.9,87.8,.528
Indiana Pacers*,27.1,61,5.76,4.93,103.8,97.2,+6.6,87.5,.520
Los Angeles Clippers,24.3,28,-4.59,-3.74,103.5,108.5,-5.0,91.0,.512
Los Angeles Lakers*,29.8,56,3.90,4.35,105.5,101.3,+4.2,92.3,.522
Memphis Grizzlies*,26.0,50,2.44,2.95,104.8,102.2,+2.6,91.4,.522
Miami Heat*,26.4,42,0.52,-0.13,102.2,101.7,+0.5,88.0,.510
Milwaukee Bucks*,26.5,41,1.06,0.42,106.5,105.4,+1.1,91.6,.528
Minnesota Timberwolves*,29.7,58,5.49,5.86,105.9,99.7,+6.2,89.0,.528
New Jersey Nets*,27.7,47,2.50,1.88,100.8,98.0,+2.8,89.4,.515
New Orleans Hornets*,30.3,41,-0.10,-0.72,102.3,102.4,-0.1,89.1,.505
New York Knicks*,29.6,39,-1.48,-1.97,101.7,103.3,-1.6,89.5,.518
Orlando Magic,25.8,21,-7.02,-7.25,102.7,110.4,-7.7,90.8,.504
Philadelphia 76ers,27.5,33,-2.49,-2.95,99.1,101.9,-2.8,88.0,.505
Phoenix Suns,24.4,29,-3.74,-2.94,101.4,105.5,-4.1,92.6,.515
Portland Trail Blazers,27.6,41,-1.27,-0.58,103.7,105.1,-1.4,86.2,.515
Sacramento Kings*,29.3,55,5.01,5.41,110.3,104.9,+5.4,92.8,.554
San Antonio Spurs*,27.3,57,7.22,7.51,102.2,94.1,+8.1,89.2,.511
Seattle SuperSonics,26.0,37,-0.63,0.02,107.3,108.0,-0.7,89.9,.540
Toronto Raptors,27.6,33,-3.01,-3.42,97.0,100.4,-3.4,86.8,.495
Utah Jazz,24.9,42,-1.22,-0.53,101.9,103.3,-1.4,86.6,.509
Washington Wizards,24.4,25,-5.63,-6.12,98.8,104.8,-6.0,92.2,.500
