Atlanta Hawks*,25.4,41,2.32,2.14,115.7,113.3,+2.4,97.6,.581
Boston Celtics*,25.1,36,1.46,1.32,114.0,112.5,+1.5,98.3,.574
Brooklyn Nets*,28.2,48,4.50,4.24,118.3,113.8,+4.5,99.5,.610
Charlotte Hornets,24.6,33,-1.93,-1.94,110.9,112.8,-1.9,98.3,.564
Chicago Bulls,25.6,31,-0.89,-0.94,111.1,112.0,-0.9,99.0,.575
Cleveland Cavaliers,24.0,22,-8.44,-8.19,105.8,114.4,-8.6,97.3,.543
Dallas Mavericks*,26.3,42,2.26,2.26,115.4,113.0,+2.4,97.3,.582
Denver Nuggets*,26.1,47,4.93,4.82,117.1,112.1,+5.0,97.1,.588
Detroit Pistons,24.5,20,-4.47,-4.38,108.0,112.5,-4.5,97.9,.556
Golden State Warriors,26.7,39,1.06,1.10,111.1,110.1,+1.0,102.2,.583
Houston Rockets,26.5,17,-7.90,-7.50,107.1,114.9,-7.8,101.4,.553
Indiana Pacers,26.5,34,-0.04,-0.13,112.4,112.4,0.0,101.6,.575
Los Angeles Clippers*,28.8,47,6.18,6.02,117.6,111.2,+6.4,96.9,.599
Los Angeles Lakers*,28.2,42,2.79,2.77,109.9,107.1,+2.8,98.7,.569
Memphis Grizzlies*,24.2,38,1.03,1.07,112.0,111.0,+1.0,100.4,.560
Miami Heat*,27.4,40,0.03,-0.06,111.2,111.2,0.0,96.6,.581
Milwaukee Bucks*,28.1,46,5.89,5.57,117.2,111.4,+5.8,102.2,.593
Minnesota Timberwolves,23.2,23,-5.56,-5.25,109.5,115.0,-5.5,101.6,.555
New Orleans Pelicans,24.8,31,-0.29,-0.20,113.5,113.8,-0.3,100.1,.570
New York Knicks*,25.6,41,2.31,2.13,110.6,108.2,+2.4,95.9,.559
Oklahoma City Thunder,22.8,22,-10.64,-10.13,103.5,114.0,-10.5,101.0,.539
Orlando Magic,25.6,21,-9.31,-9.02,105.1,114.5,-9.4,98.7,.527
Philadelphia 76ers*,27.1,49,5.58,5.28,113.2,107.6,+5.6,99.5,.579
Phoenix Suns*,26.6,51,5.82,5.67,117.2,111.3,+5.9,97.2,.597
Portland Trail Blazers*,27.4,42,1.79,1.81,117.8,116.0,+1.8,98.4,.577
Sacramento Kings,25.6,31,-3.68,-3.45,113.6,117.2,-3.6,100.0,.578
San Antonio Spurs,26.2,33,-1.74,-1.58,111.0,112.8,-1.8,98.9,.554
Toronto Raptors,26.6,27,-0.47,-0.54,112.0,112.5,-0.5,99.2,.567
Utah Jazz*,28.5,52,9.25,8.97,117.6,108.3,+9.3,98.5,.597
Washington Wizards*,26.6,34,-1.83,-1.85,111.2,113.0,-1.8,104.1,.569
