Atlanta Hawks*,27.4,44,-0.82,-1.10,106.1,107.0,-0.9,89.3,.542
Boston Celtics*,29.5,56,5.37,4.83,106.2,100.3,+5.9,90.4,.561
Charlotte Bobcats,26.9,34,-4.00,-4.08,103.4,107.8,-4.4,89.6,.528
Chicago Bulls*,26.4,62,7.32,6.53,108.3,100.3,+8.0,90.4,.541
Cleveland Cavaliers,26.6,19,-9.01,-8.88,102.2,111.8,-9.6,93.0,.518
Dallas Mavericks*,30.9,57,4.23,4.41,109.7,105.0,+4.7,91.3,.565
Denver Nuggets*,27.3,50,4.76,4.81,112.3,107.3,+5.0,95.6,.574
Detroit Pistons,27.2,30,-3.60,-3.78,107.7,111.7,-4.0,89.2,.533
Golden State Warriors,25.2,36,-2.33,-2.00,108.2,110.7,-2.5,94.8,.544
Houston Rockets,26.5,43,2.18,2.37,111.3,109.0,+2.3,94.2,.550
Indiana Pacers*,25.9,37,-1.07,-1.38,104.8,106.0,-1.2,94.7,.533
Los Angeles Clippers,24.6,32,-3.13,-2.71,105.3,108.7,-3.4,92.8,.535
Los Angeles Lakers*,30.2,57,6.11,6.01,111.0,104.3,+6.7,90.7,.545
Memphis Grizzlies*,25.2,46,2.34,2.55,107.6,105.1,+2.5,91.9,.534
Miami Heat*,29.0,58,7.46,6.76,111.7,103.5,+8.2,90.9,.573
Milwaukee Bucks,26.7,35,-0.84,-1.02,101.6,102.5,-0.9,89.8,.511
Minnesota Timberwolves,23.8,17,-6.63,-5.97,104.2,111.1,-6.9,96.5,.526
New Jersey Nets,24.8,24,-6.24,-6.28,103.1,109.9,-6.8,89.9,.517
New Orleans Hornets*,26.3,46,0.89,1.28,106.2,105.2,+1.0,88.7,.537
New York Knicks*,25.3,42,0.78,0.48,110.9,110.1,+0.8,95.6,.561
Oklahoma City Thunder*,23.7,55,3.79,3.81,111.2,107.2,+4.0,92.7,.561
Orlando Magic*,27.6,52,5.46,4.92,107.9,102.0,+5.9,91.2,.554
Philadelphia 76ers*,24.7,41,1.50,1.01,106.6,105.0,+1.6,91.7,.535
Phoenix Suns,29.6,40,-0.89,-0.46,109.5,110.4,-0.9,94.4,.559
Portland Trail Blazers*,26.7,48,1.52,1.85,108.8,107.1,+1.7,87.9,.533
Sacramento Kings,24.8,24,-5.34,-4.80,103.5,109.0,-5.5,95.2,.519
San Antonio Spurs*,28.8,61,5.71,5.86,111.8,105.6,+6.2,92.3,.567
Toronto Raptors,24.5,22,-6.28,-6.28,106.1,112.9,-6.8,92.9,.533
Utah Jazz,26.8,39,-1.83,-1.44,108.1,110.1,-2.0,91.0,.544
Washington Wizards,24.9,23,-7.40,-7.30,102.4,110.2,-7.8,93.8,.513
League Average,26.7,,0.00,0.00,107.3,107.3,,92.1,.541
