Atlanta Hawks*,29.6,31,2.90,2.82,100.5,97.1,+3.4,85.3,.492
Boston Celtics,24.3,19,-1.86,-1.75,100.4,102.4,-2.0,91.5,.501
Charlotte Hornets,29.0,26,-0.10,0.63,102.3,102.4,-0.1,89.7,.537
Chicago Bulls,28.6,13,-9.46,-8.58,92.4,103.0,-10.6,88.1,.470
Cleveland Cavaliers,26.7,22,-1.72,-0.94,99.6,101.6,-2.0,86.4,.520
Dallas Mavericks,26.1,19,-2.40,-2.50,102.3,104.9,-2.6,89.0,.502
Denver Nuggets,24.6,14,-6.60,-6.67,103.1,110.4,-7.3,90.5,.511
Detroit Pistons*,27.7,29,3.42,3.97,104.2,100.3,+3.9,86.3,.528
Golden State Warriors,28.1,21,-2.50,-2.63,98.4,101.1,-2.7,88.9,.471
Houston Rockets*,29.6,31,2.32,1.39,105.4,102.9,+2.5,88.8,.545
Indiana Pacers*,30.8,33,3.74,3.86,108.7,104.4,+4.3,86.4,.537
Los Angeles Clippers,25.0,9,-8.82,-8.94,100.0,109.7,-9.7,89.5,.497
Los Angeles Lakers*,27.5,31,3.02,2.68,107.6,104.3,+3.3,91.6,.538
Miami Heat*,30.3,33,4.96,5.11,104.7,98.9,+5.8,84.8,.540
Milwaukee Bucks*,28.3,28,1.66,1.66,104.9,103.0,+1.9,87.0,.530
Minnesota Timberwolves*,27.2,25,0.38,-0.17,101.9,101.5,+0.4,91.0,.481
New Jersey Nets,26.0,16,-3.78,-3.20,99.5,103.6,-4.1,91.5,.485
New York Knicks*,29.0,27,1.02,1.45,98.6,97.5,+1.1,86.9,.509
Orlando Magic*,28.7,33,2.60,3.11,100.3,97.4,+2.9,88.8,.498
Philadelphia 76ers*,26.0,28,2.06,2.56,99.9,97.6,+2.3,88.6,.494
Phoenix Suns*,29.3,27,2.26,2.15,105.8,103.3,+2.5,90.0,.526
Portland Trail Blazers*,27.4,35,6.36,5.67,104.8,97.7,+7.1,89.2,.521
Sacramento Kings*,26.1,27,-0.42,-0.89,102.7,103.1,-0.4,96.0,.514
San Antonio Spurs*,30.1,37,8.06,7.12,104.0,95.0,+9.0,88.6,.523
Seattle SuperSonics,31.2,25,-1.08,-1.43,105.0,106.2,-1.2,89.6,.519
Toronto Raptors,27.3,23,-1.64,-1.32,102.0,103.9,-1.9,88.8,.504
Utah Jazz*,30.3,37,6.52,5.54,105.8,98.4,+7.4,87.0,.545
Vancouver Grizzlies,25.0,8,-8.66,-8.94,98.4,107.9,-9.5,89.0,.498
Washington Wizards,29.3,18,-2.24,-1.75,101.2,103.7,-2.5,89.8,.507
League Average,27.8,,0.00,0.00,102.2,102.2,,88.9,.511
