Atlanta Hawks*,27.9,40,3.44,2.67,104.9,101.2,+3.7,90.2,.535
Boston Celtics*,29.3,39,2.52,2.26,101.0,98.2,+2.8,90.4,.535
Charlotte Bobcats,24.5,7,-13.91,-13.96,95.2,110.4,-15.2,91.1,.483
Chicago Bulls*,27.1,50,8.18,7.43,107.4,98.3,+9.1,89.1,.523
Cleveland Cavaliers,26.0,21,-7.20,-7.34,101.1,108.9,-7.8,91.3,.505
Dallas Mavericks*,31.3,36,0.95,1.78,103.3,102.3,+1.0,91.4,.527
Denver Nuggets*,26.6,38,2.88,3.16,109.2,106.2,+3.0,94.2,.556
Detroit Pistons,26.3,25,-4.79,-5.19,101.0,106.3,-5.3,89.2,.510
Golden State Warriors,25.3,23,-3.41,-2.79,105.4,109.1,-3.7,92.3,.539
Houston Rockets,26.2,34,0.23,0.57,105.5,105.2,+0.3,91.7,.529
Indiana Pacers*,26.3,42,3.30,2.60,106.7,103.1,+3.6,90.7,.526
Los Angeles Clippers*,27.3,40,2.56,2.82,108.5,105.7,+2.8,89.2,.533
Los Angeles Lakers*,29.7,41,1.42,1.96,106.0,104.4,+1.6,90.5,.534
Memphis Grizzlies*,25.6,41,2.02,2.43,104.0,101.8,+2.2,90.8,.515
Miami Heat*,28.3,46,5.98,5.72,106.6,100.2,+6.4,91.2,.549
Milwaukee Bucks,26.2,31,0.27,-0.23,105.5,105.2,+0.3,93.7,.521
Minnesota Timberwolves,24.4,26,-2.20,-1.83,104.3,106.6,-2.3,93.3,.524
New Jersey Nets,26.1,22,-5.98,-6.37,102.9,109.6,-6.7,90.1,.516
New Orleans Hornets,25.5,21,-3.76,-3.11,100.9,105.1,-4.2,88.3,.517
New York Knicks*,26.3,36,3.20,2.39,104.4,101.0,+3.4,93.2,.533
Oklahoma City Thunder*,25.1,47,6.12,6.44,109.8,103.2,+6.6,93.0,.567
Orlando Magic*,27.5,37,0.79,0.46,105.0,104.1,+0.9,89.0,.533
Philadelphia 76ers*,24.9,35,4.24,3.59,103.9,99.2,+4.7,89.7,.511
Phoenix Suns,28.9,33,-0.24,0.29,106.2,106.5,-0.3,92.6,.536
Portland Trail Blazers,27.5,28,-0.62,-0.22,105.7,106.4,-0.7,91.2,.531
Sacramento Kings,24.3,22,-5.68,-4.95,103.8,109.8,-6.0,94.7,.510
San Antonio Spurs*,27.5,50,7.17,7.28,110.9,103.2,+7.7,92.9,.562
Toronto Raptors,25.7,23,-3.30,-3.67,100.8,104.5,-3.7,89.3,.518
Utah Jazz*,25.6,36,0.62,0.92,106.8,106.1,+0.7,91.4,.525
Washington Wizards,24.2,20,-4.80,-5.14,101.0,106.2,-5.2,92.5,.508
