Atlanta Hawks,24.1,30,-4.76,-4.86,103.0,108.3,-5.3,90.0,.523
Boston Celtics,23.5,24,-3.41,-3.70,103.2,106.9,-3.7,92.0,.530
Charlotte Bobcats,25.5,33,-3.74,-3.97,103.6,107.6,-4.0,92.0,.524
Chicago Bulls*,26.0,49,5.01,4.52,104.9,99.6,+5.3,93.6,.534
Cleveland Cavaliers*,26.9,50,3.83,3.33,105.5,101.3,+4.2,90.8,.522
Dallas Mavericks*,28.1,67,7.22,7.28,111.3,103.2,+8.1,89.5,.559
Denver Nuggets*,26.5,45,1.62,1.69,107.6,105.9,+1.7,97.4,.548
Detroit Pistons*,29.0,53,4.16,3.69,108.9,104.2,+4.7,87.3,.535
Golden State Warriors*,24.6,42,-0.34,0.00,107.0,107.4,-0.4,99.2,.548
Houston Rockets*,28.2,52,4.85,5.04,106.0,100.7,+5.3,90.7,.540
Indiana Pacers,27.2,35,-2.44,-2.62,102.9,105.5,-2.6,92.4,.523
Los Angeles Clippers,27.5,40,-0.46,-0.07,105.1,105.6,-0.5,90.8,.537
Los Angeles Lakers*,25.3,42,-0.07,0.24,108.6,108.6,0.0,93.5,.554
Memphis Grizzlies,26.2,22,-5.15,-4.44,106.9,112.3,-5.4,93.6,.555
Miami Heat*,29.3,44,-0.91,-1.21,104.3,105.3,-1.0,89.9,.541
Milwaukee Bucks,26.0,28,-4.38,-4.43,107.0,111.7,-4.7,92.3,.541
Minnesota Timberwolves,27.7,32,-3.67,-3.16,103.9,107.9,-4.0,91.0,.537
New Jersey Nets*,28.2,41,-0.77,-1.00,105.7,106.6,-0.9,91.4,.546
New Orleans/Oklahoma City Hornets,26.4,39,-1.57,-1.19,104.8,106.5,-1.7,90.2,.520
New York Knicks,25.4,33,-2.85,-3.06,105.7,108.8,-3.1,90.8,.539
Orlando Magic*,25.6,40,0.78,0.35,104.9,104.1,+0.8,89.9,.544
Philadelphia 76ers,26.2,35,-3.02,-3.26,103.6,106.9,-3.3,90.7,.530
Phoenix Suns*,27.6,61,7.30,7.28,113.9,106.4,+7.5,95.6,.590
Portland Trail Blazers,24.4,32,-4.29,-3.78,105.1,109.9,-4.8,88.3,.530
Sacramento Kings,27.3,33,-1.80,-1.35,106.2,108.0,-1.8,94.8,.545
San Antonio Spurs*,30.4,58,8.43,8.35,109.2,99.9,+9.3,89.8,.561
Seattle SuperSonics,25.9,31,-2.89,-2.45,107.2,110.3,-3.1,91.8,.544
Toronto Raptors*,26.0,47,0.99,0.61,107.0,106.0,+1.0,92.6,.550
Utah Jazz*,25.9,51,2.87,3.06,110.1,107.0,+3.1,91.6,.551
Washington Wizards*,26.8,41,-0.51,-0.80,110.1,110.6,-0.5,94.1,.542
