Atlanta Hawks,26.0,13,-9.71,-9.62,100.6,111.1,-10.5,91.4,.504
Boston Celtics*,27.1,45,0.87,0.35,107.5,106.6,+0.9,93.3,.551
Charlotte Bobcats,24.9,18,-5.99,-6.15,101.1,107.5,-6.4,92.3,.497
Chicago Bulls*,25.0,47,1.06,0.65,101.4,100.3,+1.1,92.4,.517
Cleveland Cavaliers,26.5,42,0.79,0.27,106.6,105.7,+0.9,89.7,.518
Dallas Mavericks*,27.7,58,5.74,5.86,110.3,104.1,+6.2,92.7,.545
Denver Nuggets*,26.7,49,2.02,2.23,106.0,103.9,+2.1,93.5,.535
Detroit Pistons*,27.9,54,3.87,3.31,105.6,101.2,+4.4,87.2,.519
Golden State Warriors,26.7,34,-2.16,-1.74,104.7,106.9,-2.2,93.3,.512
Houston Rockets*,29.7,51,4.04,4.27,106.2,101.7,+4.5,88.8,.534
Indiana Pacers*,28.3,44,0.76,0.49,105.5,104.6,+0.9,87.2,.534
Los Angeles Clippers,25.5,37,-0.77,-0.47,105.5,106.4,-0.9,89.1,.533
Los Angeles Lakers,26.0,34,-2.96,-2.32,108.1,111.4,-3.3,90.8,.535
Memphis Grizzlies*,26.3,45,2.29,2.64,105.5,102.9,+2.6,88.5,.535
Miami Heat*,28.0,59,6.52,5.77,110.2,103.1,+7.1,90.8,.559
Milwaukee Bucks,26.9,30,-2.99,-3.09,106.6,109.8,-3.2,90.8,.527
Minnesota Timberwolves,29.0,44,1.45,1.73,108.2,106.6,+1.6,89.1,.534
New Jersey Nets*,27.8,42,-1.50,-1.82,101.4,103.1,-1.7,89.1,.512
New Orleans Hornets,27.5,18,-7.07,-6.30,99.7,107.7,-8.0,87.6,.493
New York Knicks,27.3,33,-2.44,-2.72,106.2,108.9,-2.7,90.7,.531
Orlando Magic,26.5,36,-2.24,-2.52,104.9,107.3,-2.4,94.7,.529
Philadelphia 76ers*,26.4,43,-0.74,-1.07,103.5,104.3,-0.8,94.9,.528
Phoenix Suns*,25.2,62,7.12,7.08,114.5,107.1,+7.4,95.9,.571
Portland Trail Blazers,27.0,27,-4.00,-3.45,103.2,107.7,-4.5,89.8,.524
Sacramento Kings*,27.7,50,2.16,2.56,110.5,108.2,+2.3,93.0,.541
San Antonio Spurs*,28.5,59,7.80,7.84,107.5,98.8,+8.7,88.9,.534
Seattle SuperSonics*,26.0,52,2.29,2.59,112.2,109.6,+2.6,87.9,.546
Toronto Raptors,27.0,33,-1.62,-1.81,106.9,108.7,-1.8,92.7,.539
Utah Jazz,25.7,26,-4.27,-3.74,104.7,109.5,-4.8,88.4,.522
Washington Wizards*,25.3,45,-0.33,-0.71,107.2,107.5,-0.3,93.3,.523
