Atlanta Hawks*,27.5,38,-0.48,-0.88,105.9,106.4,-0.5,94.6,.554
Boston Celtics,25.4,25,-4.46,-4.97,102.9,107.7,-4.8,93.3,.517
Brooklyn Nets*,30.0,44,-1.00,-1.58,106.7,107.7,-1.0,91.4,.555
Charlotte Bobcats*,25.5,43,-0.22,-0.89,103.6,103.8,-0.2,92.4,.522
Chicago Bulls*,28.6,48,1.85,1.20,102.5,100.5,+2.0,90.2,.518
Cleveland Cavaliers,24.9,33,-3.29,-3.86,104.2,107.7,-3.5,93.1,.518
Dallas Mavericks*,30.6,49,2.40,2.91,111.2,108.7,+2.5,93.5,.564
Denver Nuggets,26.0,36,-2.15,-1.40,106.0,108.2,-2.2,98.1,.536
Detroit Pistons,24.7,29,-3.66,-4.13,105.9,109.7,-3.8,94.9,.514
Golden State Warriors*,26.3,51,4.80,5.15,107.5,102.6,+4.9,96.2,.550
Houston Rockets*,25.4,54,4.56,5.06,111.0,106.3,+4.7,96.3,.571
Indiana Pacers*,27.2,56,4.40,3.63,104.1,99.3,+4.8,92.5,.535
Los Angeles Clippers*,28.1,57,6.98,7.27,112.1,104.8,+7.3,95.9,.567
Los Angeles Lakers,26.8,27,-6.29,-5.33,104.2,110.6,-6.4,98.7,.542
Memphis Grizzlies*,28.5,50,1.57,2.18,106.3,104.6,+1.7,89.9,.529
Miami Heat*,30.6,54,4.76,4.15,110.9,105.8,+5.1,91.2,.590
Milwaukee Bucks,24.7,15,-8.18,-8.41,103.0,111.8,-8.8,91.8,.519
Minnesota Timberwolves,26.3,40,2.67,3.10,108.9,106.2,+2.7,97.3,.535
New Orleans Pelicans,24.3,34,-2.71,-1.98,107.2,110.1,-2.9,92.2,.537
New York Knicks,28.3,37,-0.79,-1.40,108.3,109.1,-0.8,90.3,.541
Oklahoma City Thunder*,26.2,59,6.34,6.66,110.5,103.9,+6.6,95.4,.566
Orlando Magic,24.6,23,-5.44,-5.88,101.7,107.4,-5.7,93.6,.525
Philadelphia 76ers,23.4,19,-10.45,-10.66,99.4,109.9,-10.5,99.2,.510
Phoenix Suns,26.2,48,2.63,3.02,109.5,106.7,+2.8,95.8,.558
Portland Trail Blazers*,25.8,54,3.99,4.44,111.5,107.4,+4.1,94.9,.548
Sacramento Kings,24.9,28,-2.90,-2.08,105.7,108.8,-3.1,94.4,.532
San Antonio Spurs*,28.9,62,7.72,8.00,110.5,102.4,+8.1,95.0,.571
Toronto Raptors*,25.6,48,3.24,2.55,108.8,105.3,+3.5,91.8,.545
Utah Jazz,24.5,25,-7.17,-6.27,103.5,111.3,-7.8,91.4,.523
Washington Wizards*,26.3,44,1.27,0.48,106.0,104.6,+1.4,93.2,.538
